"Occupations with the expected highest (percentage) growth, 2021-2035, Change",,,,
Change (000s) 2021-2035,"Baseline
projections
(BS)","Automation
(AS)","Technological
opportunities
(TS)","Human-centric
(HS)"
2132 IT managers,58.1,59.4,77.4,75.7
2152 Environment professionals,11.4,57.4,63.7,63.1
"2134 Programmers and software development
professionals",109.5,94.8,127.8,124.6
1136 Human resource managers and directors,27.4,45.8,59.6,58.9
1131 Financial managers and directors,58.6,65.2,92.8,91.4
1137 Information technology directors,18.3,25.8,34.7,34.3
3132 IT user support technicians,17.5,75.3,86.9,86
6131 Nursing auxiliaries and assistants,68.4,70.3,98.3,102.5
6135 Care workers and home carers,116.7,172.1,222.6,230
2319 Teaching professionals n.e.c.,35.5,72.5,88.7,90.4
