"Table 6.2: Occupations with the expected highest (percentage) decline, 2021-2035",,,,
2035 Employment Levels (000s),"Baseline
projections
(BS)","Automation
(AS)","Technological
opportunities
(TS)","Human-centric
(HS)"
4215 Personal assistants and other secretaries,130,127,138,139
4213 School secretaries,70,70,76,77
4216 Receptionists,168,164,178,180
7111 Sales and retail assistants,1000,897,944,949
4123 Bank and post office clerks,111,77,81,82
4152 Data entry administrators,46,15,16,16
"4122 Book-keepers, payroll managers and
wages clerks",497,447,471,473
4131 Records clerks and assistants,145,109,115,116
4159 Other administrative occupations n.e.c.,639,578,609,612
"1121 Production managers and directors in
manufacturing",261,213,225,225
